"Click to View More","Agency","Program","Data Category","Data Element Name","Data Element Definition","Data Type","Years Available"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","Local Identifier","Local Identifying number used by your institution.  BANNER system users should submit SPRIDEN_PIDM.  Other schools should submit their primary student identifier.  This identifier should not change through the students' tenure at your institution.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","Other Student ID","Local Identifying number used by your institution.  BANNER system users should submit SPRIDEN_ID.  Other schools should submit any secondary student identifier they may have.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","SASID","Connecticut state identifying number",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","Sex","The student's sex",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","Citizenship","The student's citizenship",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","IPEDS reported race/ethnicity","Race/Ethnicity as reported to IPEDS",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","Hispanic","Hispanic of any race",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","Asian","Asian or Asian American",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","Black","Black or African American",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","Natv American Alaskan Natv","Native American (American Indian) or Alaskan Native",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","Natv Hawaiian Oth Pac Islander","Native Hawaiian or Other Pacific Islander",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","White","White",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","Permanent State","The student's permanent state of residence  See https://ceds.ed.gov/cedselementdetails.aspx?termid=5267",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","Permanent Zip","The student's 5-digit zipcode for permanent residence",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","Citizenship Nation","The student's nation of citizenship (not necessarily nation of residence)",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","High school CEEB code","The student's high school CEEB code or other indicator of HS degree.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","High School Graduation Year","Student's year of high school graduation",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","High School Nation","Blank if nation unknown or non-US-based school",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Academic Summary","Transfer From Institution","Institution from which student transferred",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Academic Summary","Transfer From Institution CEEB Code","CEEB code for Institution from which student transferred",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Academic Summary","Pre-Matriculation Credits Completed - Towards Degree","The number of credits awarded by your institution that count towards degree completion based upon student's successful completion of pre-matriculation courses and/or tests (e.g credits from Advance Placement courses/tests).   This does not include transfer credits, which are requested with term information.                     
*For virtually all students, this is a one-time occurrence*",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","Cohort Exclusion","Those persons who may be removed (deleted) from a cohort (or subcohort). For the Graduation Rates and Fall Enrollment retention rate reporting, persons may be removed from a cohort if they left the institution for one of the following reasons: death or total and permanent disability; service in the armed forces (including those called to active duty); service with a foreign aid service of the federal government, such as the Peace Corps; or service on official church missions.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","Highest SAT Math","Highest Math SAT",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","Highest SAT Critical Reading","Highest Critical Reading SAT",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","Highest SAT Writing","Highest Writing SAT",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","Highest ACT Composite","Highest ACT Composite",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","Mother's or Maternal Guardian Education","Highest level of education completed by student's mother or maternal guardian",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","Father's or Paternal Guardian Education","Highest level of education completed by student's Father or Paternal Guardian",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Student","Admit Type - Institutional Standard","The student type at admission.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Term","Cohort Term","The year and term in which the student entered into a certificate or degree-seeking program at your institution.  Non-certificate or non-degree students should not be included in these data.  This is the cohort determination for the student and will not change once established.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Term","Academic Term Designator","The year and academic term for which the term-specific data apply.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Academic Summary","Enrollment in Postsecondary Award Type","An indicator of the award level in which the person is enrolled during the term.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Academic Summary","Undergraduate School 1","If your institution has separate undergraduate schools, please report the school in which the student is enrolled during the term.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Academic Summary","Undergraduate School 2","If the student is enrolled in a second undergraduate school concurrently during the term, please report the second school here.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Academic Summary","Term Enrollment Status - Institutional Standard","The student's enrollment status for this term as recorded by your institution.  Use status as of official census date if possible.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Academic Summary","Term Status - CCIC Standard","The student's status for this term, using standardized CCIC statuses.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Academic Summary","Part-time_Full-time Status","Course-load status of student during the term.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Academic Summary","Class Year","Year of expected graduation as of current term and year.                                                                                                                                                      *This may be different from the expected year of graduation at admissions*",NA,"2005 to 2021"
